chaveTituloAno	ano	autor	instituicao	cidade	cidadeReconciliada	latitude	longitude	estado	pais
eadecd2019	2019	Marta C. R. Anciutti	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
demrc2019	2019	Felipe Augusto Arakaki	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
demrc2019	2019	Ana Carolina Simionato Arakaki	UFSCar	São Carlos	São Carlos	-22.017777777778	-47.890833333333	SP	Brasil
daesae2019	2019	Izabella Bauer de Assis Cunha	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
daesae2019	2019	Frederico Cesar Mafra Pereira	UNA	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
daesae2019	2019	Renata Maria Abrantes Baracho	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
cadted2019	2019	André Fabiano Dyck	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
cadted2019	2019	Moisés Lima Dutra	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
cadted2019	2019	Angel Freddy Godoy Viera	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
cdpcet2019	2019	Monique de Oliveira Santiago	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
cdpcet2019	2019	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
cdpcet2019	2019	Felipe Affonso	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
andpdd2019	2019	Rosilene Paiva Marinho de Sousa	UNIPÊ	João Pessoa	João Pessoa	-7.12	-34.88	PB	Brasil
andpdd2019	2019	Paulo Henrique Tavares da Silva	UNIPÊ	João Pessoa	João Pessoa	-7.12	-34.88	PB	Brasil
andpdd2019	2019	Marckson Roberto Ferreira de Sousa	UFPB	João Pessoa	João Pessoa	-7.12	-34.88	PB	Brasil
admpdd2019	2019	Roberto Zaina	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
admpdd2019	2019	Vinicius Faria Culmant Ramos	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
admpdd2019	2019	Gustavo Medeiros de Araujo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
addpgd2019	2019	Marcello Peixoto Bax	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
addpgd2019	2019	Evaldo de Oliveira da Silva	CESJF	Juiz de Fora	Juiz de Fora	-21.75	-43.35	MG	Brasil
aqdieo2019	2019	Gustavo Marttos Cáceres Pereira	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
aqdieo2019	2019	Leonardo Castro Botega	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
uwapcd2017	2017	Sandro Rautenberg	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
uwapcd2017	2017	Alessandra Cassiana Burda	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
uwapcd2017	2017	Lucélia de Souza	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
udslpd2017	2017	Lucas Rodrigues Costa	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
udslpd2017	2017	Lucas Ângelo Silveira	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
udslpd2017	2017	Ronnie Fagundes De Brito	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
udslpd2017	2017	Milton Shintaku	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
urpsad2017	2017	Murilo Silveira Gomes	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
urpsad2017	2017	Lidiane Visintin	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
urpsad2017	2017	Fernando Ostuni Gauthier	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
uedcdv2017	2017	Lidiane Visintin	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
uedcdv2017	2017	Murilo Silveira Gomes	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
uedcdv2017	2017	Jose Todesco	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
ccdrpa2017	2017	Fábio Mosso Moreira	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ccdrpa2017	2017	Diana Vilas Boas Souto Aleixo	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ccdrpa2017	2017	Pedro Henrique Santos Bisi	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ccdrpa2017	2017	Leonardo Felipe Franchi	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ccdrpa2017	2017	Ricardo Cesar Gonçalves Sant’ana	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
pdadmp2017	2017	Luiz Felipe Chiaradia	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
pdadmp2017	2017	Douglas Dyllon Jeronimo de Macedo	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
pdadmp2017	2017	Moisés Lima Dutra	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
mdadbd2017	2017	Ademilson Barbosa	UFOPA	Santarém	Santarém	-2.4427777777778	-54.707777777778	PA	Brasil
mdadbd2017	2017	Marcio Ponte	UFOPA	Santarém	Santarém	-2.4427777777778	-54.707777777778	PA	Brasil
mdadbd2017	2017	Celson Lima	UFOPA	Santarém	Santarém	-2.4427777777778	-54.707777777778	PA	Brasil
ddocdq2017	2017	Jordana Nogueira Silva	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ddocdq2017	2017	Jessica Souza	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ddocdq2017	2017	Állan César Moreira de Oliveira	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
ddocdq2017	2017	Maria De Fátima Tavares	IBICT	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
ddocdq2017	2017	Leonardo Castro Botega	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
aqdecu2017	2017	Gustavo Marttos Cáceres Pereira	UNIVEM	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
aqdecu2017	2017	João Henrique Martins	Stratelli	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
aqdecu2017	2017	Leonardo Castro Botega	Stratelli	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
opedws2017	2017	Caio Coneglian	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
opedws2017	2017	Rodrigo Dieger	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
opedws2017	2017	José Eduardo Santarem Segundo	USP	Ribeirão Preto	Ribeirão Preto	-21.178333333333	-47.806666666667	SP	Brasil
